Code,Name,Value
en,"BANDAR PULAU","BANDAR PULAU"
en,"PULAU RAKYAT","RAKYAT ISLAND"
en,"AEK KUASAN","AEK KUASAN"
en,"SEI KEPAYANG","SEI KEPAYANG"
en,"SEI KEPAYANG BARAT","WEST SEI KEPAYANG"
en,"SEI KEPAYANG TIMUR","EAST SEI KEPAYANG"
en,"SEI DADAP","SEI DADAP"
en,"SETIA JANJI","SETIA JANJI"
en,"RAWANG PANCA ARGA","RAWANG PANCA ARGA"
en,"SILAU LAUT","SILAU LAUT"
en,"PEMATANG SILIMAHUTA","PEMATANG SILIMAHUTA"
en,PURBA,PURBA
en,"HARANGGAOL HORISON","HARANGGAOL HORISON"
en,"GIRSANG SIPANGAN BOLON","GIRSANG SIPANGAN BOLON"
en,"TANAH JAWA","TANAH JAWA"
en,HATONDUHAN,HATONDUHAN
en,"DOLOK PANRIBUAN","DOLOK PANRIBUAN"
en,PANEI,PANEI
en,"PANOMBEAN PANEI","PANOMBEAN PANEI"
en,"DOLOG MASAGAL","DOLOG MASAGAL"
en,"DOLOK SILAU","DOLOK SILAU"
en,"SILAU KAHEAN","SILAU KAHEAN"
en,"RAYA KAHEAN","RAYA KAHEAN"
en,"TAPIAN DOLOK","TAPIAN DOLOK"
en,"DOLOK BATU NANGGAR","DOLOK BATU NANGGAR"
en,SIANTAR,SIANTAR
en,"GUNUNG MALELA","GUNUNG MALELA"
en,"GUNUNG MALIGAS","GUNUNG MALIGAS"
en,"HUTABAYU RAJA","HUTABAYU RAJA"
en,"JAWA MARAJA BAH JAMBI","JAWA MARAJA BAH JAMBI"
en,"BANDAR HULUAN","BANDAR HULUAN"
en,PARBULUAN,PARBULUAN
en,SILAHISABUNGAN,SILAHISABUNGAN
en,"SILIMA PUNGGA-PUNGGA","SILIMA PUNGGA-PUNGGA"
en,"SIEMPAT NEMPU","SIEMPAT NEMPU"
en,"SIEMPAT NEMPU HULU","SIEMPAT NEMPU HULU"
